R10,-159.95,100.36,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,-43.44,55.41,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,-15.46,5.22,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,-77.51,60.88,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,-50.10,45.40,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,-100.43,12.18,270.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,-14.77,55.87,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,-21.57,54.29,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,-41.44,52.60,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,-14.41,5.22,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,-77.61,51.79,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,-96.53,16.30,180.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,-102.53,14.11,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,-130.36,50.49,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,-124.41,41.18,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,-117.51,41.20,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,-120.11,41.24,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,-97.31,25.62,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,-120.16,108.83,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,-148.51,108.28,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,-81.43,62.31,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,-108.63,108.06,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,-95.38,25.63,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,-116.63,108.25,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,-13.45,11.67,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,-103.26,11.99,0.00,,SJ
TP1,-157.80,74.49,90.00,TPTP20R,TP20R
TP10,-131.51,30.08,90.00,TPTP20R,TP20R
TP11,-130.51,18.00,90.00,TPTP20R,TP20R
TP12,-130.51,10.92,90.00,TPTP20R,TP20R
TP13,-131.51,36.84,0.00,TPTP20R,TP20R
TP14,-19.38,61.89,0.00,TPTP20R,TP20R
TP15,-113.51,57.68,0.00,TPTP20R,TP20R
TP16,-96.51,108.60,0.00,TPTP20R,TP20R
TP17,-92.51,108.52,0.00,TPTP20R,TP20R
TP2,-154.42,74.49,90.00,TPTP20R,TP20R
TP3,-19.51,65.64,0.00,TPTP20R,TP20R
TP4,-26.51,39.56,0.00,TPTP20R,TP20R
TP5,-87.51,108.48,0.00,TPTP20R,TP20R
TP6,-119.51,30.40,0.00,TPTP20R,TP20R
TP7,-116.51,30.32,0.00,TPTP20R,TP20R
TP8,-123.51,30.24,0.00,TPTP20R,TP20R
TP9,-131.11,24.21,90.00,TPTP20R,TP20R
U2,-153.28,57.48,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,-84.62,55.43,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,-32.06,58.20,0.00,MAX17048G+T10,SON50P200X200X80-9N
U6,-124.13,57.83,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
